,Theaters,Country,Genre,Rated,Runtime,Language,imdbRating,Actorinfluenceaverage,if_actorinfluence,Average Gross for each movie,if_average_gross,googletrends,Total Gross
2026,-0.5547808071495465,1.5149804897133048,0.10450588503916422,0.37115844926801334,0.587925156677902,-0.011070482522848585,-0.3145480128735928,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-0.7797086089988907,-0.31160971203848714
2027,-0.569754875567989,-0.8147228411347105,-0.23986588851846263,0.37115844926801334,-0.6948819212789644,-0.32375513173963344,-0.26882352327197,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-1.4655118453311147,-0.3126194048504462
2059,-0.5051299487094475,-0.8147228411347105,-0.5842376620760895,0.37115844926801334,-0.3061525037162776,-0.32375513173963344,-0.40531548989054966,-0.5854155129917965,-0.72762548469441,-0.29773437239944495,2.272356587141346,2.035694150680766,-0.3078137111530266
2072,-0.5658143312473461,0.11715849120449566,0.7932494321544179,0.37115844926801334,0.5101792731653646,3.74114530807857,0.32082432624510737,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-0.13721926127712297,-0.3118192705665218
2117,3.0035307143908763,-0.8147228411347105,1.1376212057120447,0.37115844926801334,-0.46164427074135234,-0.32375513173963344,-0.3145480128735928,3.625244439485012,1.3703613295078054,-0.3051826850103768,-0.43879989268936337,1.3619225500736685,4.685797186666999
2123,1.7993003700024452,-0.8147228411347105,0.4488776585967911,0.37115844926801334,1.5986216423408877,-0.32375513173963344,0.8654291883468499,6.5970704658638875,1.3703613295078054,0.4338067622703181,2.272356587141346,0.9287836639691059,0.0054650723968688265
2134,-0.534289976682204,-0.8147228411347105,0.4488776585967911,-2.6864802042256204,0.3935604478965586,-0.011070482522848585,-0.13301305883967837,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-0.9986843791961973,-0.2996310767890777
2137,-0.5681786578397319,-0.8147228411347105,-0.23986588851846263,0.37115844926801334,-0.383898387228815,-0.32375513173963344,0.23005684922815053,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-0.8206161704643217,-0.31231057078792984
2141,-0.5689667667038604,0.11715849120449566,-0.5842376620760895,0.37115844926801334,-0.6560089795226958,-0.24558396943543723,-0.5868504439244641,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-1.4655118453311147,-0.31250989863111334
2145,-0.5673905489756033,-0.8147228411347105,-0.23986588851846263,0.37115844926801334,-0.46164427074135234,-0.32375513173963344,1.3192665734316356,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-0.9938717249061466,-0.31219774906887676
2156,1.4115508088511965,-0.34878217496510744,0.10450588503916422,0.37115844926801334,0.43243338965282724,-0.32375513173963344,0.5931267572959786,1.062105891267673,1.3703613295078054,1.432756924207068,2.272356587141346,-0.0626231197813372,0.30675841918650004
2164,-0.5492640451006465,1.5149804897133048,5.958826035518821,0.37115844926801334,1.4820028170720816,0.14527184208554386,1.0469641423807643,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-0.7099251217931557,-0.3078448010675465
2166,0.30819839907122054,-0.8147228411347105,0.7932494321544179,0.37115844926801334,0.5101792731653646,-0.32375513173963344,0.5023592802790218,1.3597797049174163,1.3703613295078054,2.3236335306126485,2.272356587141346,1.2728884457077307,-0.07039519053452634
2202,0.9709979538033346,-0.8147228411347105,0.7932494321544179,0.37115844926801334,0.5490522149216333,-0.32375513173963344,0.4115918032620642,0.36360397210936485,1.3703613295078054,-0.3051826850103768,-0.43879989268936337,0.04084894745475275,-0.058633123726845864
2206,-0.564238113519089,1.5149804897133048,0.10450588503916422,0.37115844926801334,0.6267980984341707,0.14527184208554386,0.23005684922815053,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-0.8133971890292456,-0.31090567040931294
2215,-0.4712412675519197,-0.8147228411347105,-0.9286094356337163,0.37115844926801334,-0.7726278047915017,4.835541580337317,-0.22378053585663518,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-0.26234827281844103,-0.28037084632541653
2228,-0.5547808071495465,0.11715849120449566,0.10450588503916422,0.37115844926801334,-0.3450254454725463,-0.32375513173963344,-1.2222227830431642,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,0.5678345922153039,-0.3124884331386386
2247,1.9309145503119138,-0.8147228411347105,-0.5842376620760895,0.37115844926801334,-0.4227713289850837,-0.32375513173963344,-2.2206650302296924,0.0659301584596217,1.3703613295078054,0.9011518672699671,2.272356587141346,0.15153999612591873,0.080273829328404
2251,-0.569754875567989,0.11715849120449566,-0.23986588851846263,0.37115844926801334,-0.6948819212789644,-0.32375513173963344,0.8654291883468499,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-1.4655118453311147,-0.3126138727023415
2260,-0.5516283716930322,-0.8147228411347105,-0.23986588851846263,0.37115844926801334,0.04370397209014047,-0.32375513173963344,0.1392893722111929,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,0.7025889123367233,-0.3110578992107557
2262,-0.1725480080471976,-0.8147228411347105,-0.9286094356337163,0.37115844926801334,0.704543981946708,-0.32375513173963344,-1.9483625991788212,1.5100902444831281,1.3703613295078054,-0.2832758832135183,2.272356587141346,-0.10112435410174275,-0.2875649881299035
2301,-0.32544112768813716,-0.8147228411347105,-0.5842376620760895,0.37115844926801334,-0.3061525037162776,-0.32375513173963344,-0.7683853979583786,1.0208441745241443,1.3703613295078054,-0.21755547782294266,2.272356587141346,1.2416061928224011,-0.30024650932001323
2305,1.7070916328994044,-0.34878217496510744,0.4488776585967911,0.37115844926801334,0.19919573911521518,-0.32375513173963344,1.137731619397722,2.789203463532519,1.3703613295078054,-0.3051826850103768,-0.43879989268936337,-0.27437990854356775,0.32624675603091685
2317,1.2027019598571296,-0.8147228411347105,3.203851847057806,0.37115844926801334,-0.46164427074135234,-0.32375513173963344,-1.4945252140940355,0.8381137146599456,1.3703613295078054,1.0033836089886403,2.272356587141346,-0.44522913584036744,-0.04168387235107356
2356,-0.015714344085615294,-0.8147228411347105,-0.23986588851846263,-2.6864802042256204,-0.07291485317866556,-0.32375513173963344,-2.6745024153144783,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-1.4655118453311147,-0.27860612897144166
2413,-0.417649864791178,-0.8147228411347105,-0.9286094356337163,0.37115844926801334,-0.26727956196000896,-0.32375513173963344,-0.04224558182272155,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-0.31047481571894797,-0.31251213422521046
2478,-0.5398067387311039,-0.8147228411347105,-0.23986588851846263,0.37115844926801334,-0.46164427074135234,-0.32375513173963344,-2.492967461280564,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-1.4655118453311147,-0.30917281974407823
2487,2.637848201435227,1.0490398235437017,0.10450588503916422,0.37115844926801334,1.3653839918032755,-0.32375513173963344,1.4100340504485924,1.9168128809550544,1.3703613295078054,1.9789665156754075,2.272356587141346,1.8961271762692957,3.974344240983785
