,num,Title,Theaters,Country,Genre,Rated,Runtime,Open,Language,imdbRating,Actorinfluenceaverage,if_actorinfluence,Average Gross for each movie,if_average_gross,googletrends
3369,3369,Don't Call Me Son,2,6,1,0,82,02/11/2016,10,6.9,0.0,0,,0,
3372,3372,Don't Stop Believin': Everyman's Journey,23,1,3,1,105,08/03/2013,1,6.9,0.0,0,,0,
3398,3398,Julian Schnabel: A Private Portrait,1,1,3,1,84,05/05/2017,1,7.1,0.0,0,,0,
3399,3399,Julie & Julia,2528,1,6,1,118,07/08/2009,1,7.0,62233.333329999994,1,64400.0,1,
3407,3407,The World of Jurassic Park 3D,2778,1,3,1,0,05/04/2013,1,7.4,0.0,0,,0,
3409,3409,Just a Sigh,6,3,1,0,104,21/03/2014,2,6.5,0.0,0,,0,
3415,3415,Just One Drop,6,1,3,1,66,22/09/2017,1,6.350375411,0.0,0,,0,
3418,3418,Justice Is Mind,1,1,5,1,153,18/08/2013,1,7.5,0.0,0,,0,
3420,3420,So B. It,22,1,1,1,0,06/10/2017,1,8.1,0.0,0,,0,
3422,3422,So Young 2: Never Gone,21,6,15,1,99,15/07/2016,72,6.8,0.0,0,,0,
3425,3425,Sol LeWitt,2,6,3,0,87,07/05/2014,1,6.0,0.0,0,,0,
3427,3427,Solar Flare,1,1,4,1,87,06/06/2008,1,2.4,0.0,0,,0,
3443,3443,The Son of Joseph,3,3,1,1,113,29/09/2016,2,6.7,0.0,0,,0,
3455,3455,The Sons of Tennessee Williams,1,1,3,0,75,07/10/2011,1,4.1,0.0,0,,0,
3457,3457,Sophomore,1,1,2,0,98,13/01/2012,1,7.2,0.0,0,,0,
3463,3463,Soul on a String,2,6,1,1,142,19/05/2017,32,6.350375411,0.0,0,,0,
3466,3466,Souldier,2,1,3,1,72,21/02/2014,1,6.350375411,0.0,0,,0,
3476,3476,The We and the I,7,2,1,0,103,08/03/2013,1,6.1,0.0,0,13500.0,1,
3478,3478,We Are the Best!,23,6,1,0,102,30/05/2014,17,7.2,0.0,0,,0,
3488,3488,"We Love You, Sally Carmichael!",11,1,2,1,84,04/08/2017,72,8.5,0.0,0,,0,
3497,3497,A Wedding Invitation,3,6,1,1,101,24/05/2013,5,6.0,0.0,0,,0,
3506,3506,"Welcome Home, Roscoe Jenkins",2387,1,2,1,114,08/02/2008,1,5.4,53800.0,1,46300.0,1,
3514,3514,The Well-Digger's Daughter,16,3,1,0,107,20/07/2012,2,7.1,0.0,0,,0,
3516,3516,Were the World Mine,4,1,9,0,95,31/10/2008,1,7.0,0.0,0,,0,
3520,3520,Wetlands Preserved: The Story of an Activist Nightclub,1,1,3,1,93,14/03/2008,1,7.8,0.0,0,,0,
3524,3524,The Reagan Show,2,1,3,1,74,30/06/2017,1,6.3,0.0,0,,0,
3526,3526,The Reaping,2603,1,8,1,99,05/04/2007,1,5.7,58400.0,1,27500.0,1,
3536,3536,Red Alert: The War Within,682,4,4,1,120,09/07/2010,3,6.5,0.0,0,,0,
3555,3555,Redneck Carnage,1,1,8,1,99,29/10/2011,1,4.7,0.0,0,,0,
3556,3556,Redwood Highway,17,1,1,1,90,11/04/2014,1,6.4,0.0,0,,0,
3559,3559,Refusenik,3,1,3,1,120,11/04/2008,1,7.7,0.0,0,,0,
3560,3560,Regina Spektor Live in London,9,1,17,1,67,19/11/2010,1,9.1,0.0,0,,0,
3569,3569,A Remarkable Life,682,1,1,1,97,17/06/2016,1,5.8,0.0,0,,0,
3578,3578,Reno 911!: Miami,2702,1,2,1,84,23/02/2007,1,5.9,39800.0,1,,0,
3590,3590,Restless City,3,1,1,1,80,27/04/2012,1,6.1,0.0,0,,0,
3591,3591,Restless Creature: Wendy Whelan,8,1,3,1,90,23/05/2017,1,7.9,0.0,0,,0,
3592,3592,Restored Me,9,1,1,1,135,06/06/2016,1,7.9,0.0,0,,0,
3596,3596,Resurrecting the Champ,1605,1,1,1,112,24/08/2007,1,6.7,53100.0,1,10000.0,1,
3600,3600,Return to Nuke 'Em High Volume 1,1,1,2,0,85,10/01/2014,1,5.5,0.0,0,,0,
3617,3617,Evangelion: 1.0 You Are (Not) Alone,6,6,7,1,98,03/07/2009,6,7.8,0.0,0,,0,
3618,3618,Evangelion: 2.0 You Can (Not) Advance,15,6,7,1,112,21/01/2011,6,8.0,0.0,0,,0,
3619,3619,Evangelion: 3.0 You Can (Not) Redo,82,6,7,1,96,10/01/2014,6,7.0,0.0,0,,0,
3622,3622,Evergreen: The Road to Legalization,3,1,3,1,86,13/06/2014,1,7.3,0.0,0,,0,
3631,3631,Everybody Wants Some!!,454,1,2,1,117,30/03/2016,1,7.0,28500.0,1,11300.0,1,
3636,3636,Everything's Cool,2,1,3,1,89,23/11/2007,1,6.8,0.0,0,,0,
