,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Language,imdbRating,Total Gross,Actorinfluenceaverage,Actorinfluencemax,googletrends,Average Gross for each movie
169,Mike and Dave Need Wedding Dates,2016,3008,USA,Adventure,Rated,98,2016-07-08,Chinese,6.0,46009673.0,48600.0,53300.0,579.0,
170,Miles,2016,2,USA,Comedy,Unrated,90,2017-06-09,English,5.4,2537.0,0.0,0.0,1399.0,
171,Miles Ahead,2015,527,USA,Biography,Rated,100,2016-04-01,English,6.4,2610896.0,69450.0,84900.0,775.0,2600.0
172,Milk,2008,882,USA,Biography,Rated,128,2008-11-26,English,7.6,31841299.0,33450.0,44700.0,873.0,18000.0
173,The Milk of Sorrow,2009,2,Spain,Drama,Rated,94,2010-08-27,Spanish,6.7,10462.0,0.0,0.0,276.0,
174,The Mill and the Cross,2011,17,Poland,Drama,Rated,92,2011-09-14,English,6.9,312187.0,10600.0,10600.0,286.0,
175,Million Dollar Arm,2014,3019,USA,Biography,Rated,124,2014-05-16,English,7.0,36457627.0,70550.0,80700.0,767.0,19900.0
176,A Million Ways to Die in the West,2014,3160,USA,Comedy,Rated,116,2014-05-30,English,6.1,43139300.0,65666.66666666669,111100.0,1235.0,114500.0
177,Mine,2016,26,USA,Thriller,Unrated,106,2017-04-07,English,5.9,0.0,51600.0,51600.0,919.0,
178,Minecraft: The Story of Mojang,2012,0,USA,Documentary,Unrated,98,2019-05-24,Swedish,7.2,0.0,0.0,0.0,,
179,The Miners' Hymns,2010,1,UK,Drama,Unrated,52,2012-02-08,English,7.2,6051.0,0.0,0.0,0.0,
180,Minimalism: A Documentary About the Important Things,2015,80,USA,Documentary,Rated,79,2016-05-24,English,6.7,261865.0,0.0,0.0,100.0,
181,Minions,2015,4311,USA,Animation,Rated,91,2015-07-10,English,6.4,336045770.0,65600.0,70400.0,1465.0,
182,The Ministers,2009,2,USA,Crime,Rated,89,2009-10-16,English,4.5,4447.0,37400.0,37400.0,539.0,
