,Person,Total Gross(Million),Movie involved,Average Gross for each movie,Most profitbale movie,Gross of most profitable
989,Beyonce Knowles,613100.0,7.0,87600.0,Goldmember,213300.0
990,Annette Bening,608000.0,27.0,22500.0,American Beauty,130100.0
991,Adrien Brody,603200.0,32.0,18900.0,King Kong,218100.0
992,Rebecca Ferguson,602200.0,7.0,86000.0,M:I - Rogue Nation,195000.0
993,Taylor Kitsch,601800.0,10.0,60200.0,X-Men Origins: Wolverine,179900.0
994,Paul Dano,601600.0,26.0,23100.0,Cowboys & Aliens,100200.0
995,Katie Holmes,601500.0,23.0,26200.0,Batman Begins,206900.0
996,Radha Mitchell,600000.0,24.0,25000.0,Olympus Has Fallen,98900.0
997,Parker Posey,599700.0,33.0,18200.0,Superman Returns,200100.0
998,Garrett Hedlund,598200.0,13.0,46000.0,Tron Legacy,172100.0
999,Kyle Gallner,596000.0,14.0,42600.0,American Sniper,350100.0
1000,John Corbett,591700.0,13.0,45500.0,My Big Fat Greek Wedding,241400.0
1001,Dan Fogler,589500.0,12.0,49100.0,Fantastic Beasts and Where To Find Them,234000.0
1002,Roger Moore,587800.0,15.0,39200.0,The Cannonball Run,72200.0
1003,Rodrigo Santoro,584000.0,9.0,64900.00000000001,300,210600.0
1004,Shailene Woodley,583200.0,8.0,72900.0,Divergent,150900.0
1005,Derek Luke,582800.0,17.0,34300.0,Captain America,176700.0
1006,Piper Perabo,581200.0,16.0,36300.0,Cheaper by the Dozen,138600.0
1007,Courteney Cox,579500.0,14.0,41400.0,Bedtime Stories,110100.0
1008,Adam Scott,578600.0,25.0,23100.0,Step Brothers,100500.0
1009,James Gandolfini,578200.0,28.0,20600.0,Crimson Tide,91400.0
1010,Eva Green,574900.0,12.0,47900.0,Casino Royale,167400.0
1011,America Ferrera,574600.0,14.0,41000.0,How to Train Your Dragon,217600.0
1012,Patrick Swayze,574500.0,24.0,23900.0,Ghost,217600.0
1013,Sharlto Copley,573300.0,10.0,57300.0,Maleficent,241400.0
1014,Jamie Bell,572800.0,18.0,31800.0,King Kong,218100.0
1015,Olivia Wilde,571500.0,21.0,27200.0,Tron Legacy,172100.0
1016,Jamie Chung,570900.0,9.0,63400.0,The Hangover Part II,254500.0
1017,Chadwick Boseman,570100.0,5.0,114000.0,Captain America 3,408100.0
1018,Alice Eve,567400.0,15.0,37800.0,Star Trek Into Darkness,228800.0
