,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Director,Actors,Language,imdbRating,Total Gross
100,Killing Season,2013,12,USA,Action,R,91,7/12/2013,Mark Steven Johnson,"['Robert De Niro', ' John Travolta', ' Milo Ventimiglia']",English,5.4,39881.0
101,Killing Them Safely,2015,0,Canada,Documentary,Unrated,100,11/27/2015,Nick Berardini,"['Rick Smith', ' Tom Smith']",English,6.7,0.0
102,Killing Them Softly,2012,2424,USA,Crime,R,97,11/30/2012,Andrew Dominik,"['Brad Pitt', ' Scoot McNairy', ' Ben Mendelsohn']",English,6.2,15026056.0
105,Kills on Wheels,2016,1,Hungary,Action,,103,10/20/2017,Attila Till,"['Szabolcs Thuróczy', ' Zoltán Fenyvesi', ' Ádám Fekete']",Hungarian,7.4,15668.0
106,Killshot,2008,5,USA,Crime,R,95,1/23/2009,John Madden,"['Thomas Jane', ' Diane Lane', ' Mickey Rourke']",English,6.0,18643.0
107,Kilo Two Bravo,2014,11,UK,Adventure,R,108,11/13/2015,Paul Katis,"['David Elliot', ' Mark Stanley', ' Scott Kyle']",English,7.1,7891.0
109,A Kind of Murder,2016,3,USA,Crime,R,95,12/16/2016,Andy Goddard,"['Patrick Wilson', ' Jessica Biel', ' Haley Bennett']",English,5.2,2915.0
110,The Kind Words,2015,8,Israel,Drama,Unrated,118,6/24/2016,Shemi Zarhin,"['Rotem Zissman-Cohen', ' Rassabn Abes', ' Roy Assaf']",French,6.7,135382.0
112,The Kindergarten Teacher,2014,4,Israel,Drama,Unrated,119,7/31/2015,Nadav Lapid,"['Sarit Larry', ' Avi Shnaidman', ' Lior Raz']",Hebrew,6.6,36190.0
114,The King,2005,16,USA,Drama,R,105,5/19/2006,James Marsh,"['Gael García Bernal', ' Derek Alvarado', ' E. Matthew Buckley']",English,6.6,282183.0
117,King Arthur,2004,3086,USA,Action,PG-13,126,7/7/2004,Antoine Fuqua,"['Clive Owen', ' Ioan Gruffudd', ' Mads Mikkelsen']",English,6.3,51882244.0
118,King Arthur: Legend of the Sword,2017,3702,USA,Action,PG-13,126,5/12/2017,Guy Ritchie,"['Charlie Hunnam', ' Astrid Bergès-Frisbey', ' Jude Law']",English,6.9,39175066.0
119,King Cobra,2016,17,USA,Crime,Unrated,91,10/21/2016,Justin Kelly,"['Garrett Clayton', ' Christian Slater', ' Molly Ringwald']",English,5.6,74712.0
120,King Corn,2007,8,USA,Documentary,Unrated,88,10/12/2007,Aaron Woolf,"['Bob Bledsoe', ' Earl L. Butz', ' Dawn Cheney']",English,7.1,105422.0
122,King Georges,2015,10,USA,Documentary,Unrated,77,2/26/2016,Erika Frankel,"['Nicholas Elmi', ' Georges Perrier']",English,6.9,51663.0
123,The King Is Alive,2000,6,Denmark,Drama,R,110,5/11/2001,Kristian Levring,"['Miles Anderson', ' Romane Bohringer', ' David Bradley']",English,6.4,17929.0
124,King Kong,2005,3627,New Zealand,Action,PG-13,187,12/14/2005,Peter Jackson,"['Naomi Watts', ' Jack Black', ' Adrien Brody']",English,7.2,218080025.0
127,King Leopold's Ghost,2006,1,USA,Documentary,PG-13,108,8/18/2006,Pippa Scott,"['Philippe Bergeron', ' Don Cheadle', ' James Cromwell']",French,8.2,5194.0
128,King of California,2007,28,USA,Comedy,PG-13,93,9/14/2007,Mike Cahill,"['Michael Douglas', ' Evan Rachel Wood', ' Willis Burks II']",English,6.7,268461.0
130,King of Devil's Island,2010,2,Norway,Action,Unrated,116,11/18/2011,Marius Holst,"['Benjamin Helstad', ' Trond Nilssen', ' Stellan Skarsgård']",Norwegian,7.5,7615.0
131,The King of Kong: A Fistful of Quarters,2007,58,USA,Documentary,PG-13,79,8/17/2007,Seth Gordon,"['Steve Wiebe', ' Mark Alpiger', ' Adam Wood']",English,8.2,677914.0
137,King of the Jungle,2000,4,USA,Crime,R,87,11/9/2001,Seth Zvi Rosenfeld,"['John Leguizamo', ' Rosie Perez', ' Julie Carmen']",English,6.1,27841.0
141,The King's Case Note,2017,7,South Korea,Adventure,,114,4/28/2017,Hyun-Sung Moon,"['Jae-hong Ahn', ' Young-nam Jang', ' Jin-mo Joo']",Korean,6.5,90959.0
142,The King's Choice,2016,10,Norway,Biography,,133,9/22/2017,Erik Poppe,"['Jesper Christensen', ' Anders Baasmo Christiansen', ' Karl Markovics']",Norwegian,7.3,109153.0
143,King's Ransom,2005,1508,USA,Comedy,PG-13,95,4/22/2005,Jeffrey W. Byrd,"['Anthony Anderson', ' Jay Mohr', ' Kellita Smith']",English,4.2,4008527.0
144,The King's Speech,2010,2584,UK,Biography,R,118,11/26/2010,Tom Hooper,"['Colin Firth', ' Helena Bonham Carter', ' Derek Jacobi']",English,8.0,1354531430.0
145,The Kingdom,2007,2836,USA,Action,R,110,9/28/2007,Peter Berg,"['Jamie Foxx', ' Chris Cooper', ' Jennifer Garner']",English,7.1,47536778.0
