,Unnamed: 0,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Director,Actors,Language,imdbRating,Total Gross
3335,5365,Norman Lear: Just Another Version of You,2016,6,USA,Documentary,Unrated,91,7/8/2016,Heidi Ewing,"['John Amos', ' Bea Arthur', ' Adrienne Barbeau']",English,7.2,70950.0
3336,5366,"Norte, the End of History",2013,2,Philippines,Crime,Rated,250,6/20/2014,Lav Diaz,"['Sid Lucero', ' Archie Alemania', ' Angeli Bayani']",Filipino,7.5,10457.0
3338,5371,North Face,2008,36,Germany,Adventure,Unrated,126,1/29/2010,Philipp Stölzl,"['Benno Fürmann', ' Johanna Wokalek', ' Florian Lukas']",German,7.4,711421.0
3339,5372,North Sea Texas,2011,3,Belgium,Drama,Unrated,94,11/2/2012,Bavo Defurne,"['Ben Van den Heuvel', ' Eva van der Gucht', ' Thomas Coumans']",Dutch,7.2,28307.0
3340,5375,Northern Limit Line,2015,13,South Korea,Drama,Unrated,130,7/17/2015,Hak-sun Kim,"['Mu-Yeol Kim', ' Goo Jin', ' Hyun-woo Lee']",Korean,6.6,337907.0
3341,5376,Northern Soul,2014,10,UK,Drama,Rated,102,10/2/2015,Elaine Constantine,"['Steve Coogan', ' Antonia Thomas', ' Ricky Tomlinson']",English,6.4,8886.0
3343,5378,Norwegian Wood,2010,3,Japan,Drama,Unrated,133,1/6/2012,Tran Anh Hung,"[""Ken'ichi Matsuyama"", ' Rinko Kikuchi', ' Kiko Mizuhara']",Japanese,6.4,13000.0
3344,5379,Nostalghia,2014,1,France,Short,Rated,18,5/31/2013,Philipe Pipa Pocholle,"['Richard Keep', ' Clio Baran', ' Chiara Capitani']",French,,18846.0
3345,5381,Nostalgia for the Light,2010,6,Chile,Documentary,Unrated,90,1/13/2011,Patricio Guzmán,"['Gaspar Galaz', ' Lautaro Núñez', ' Luís Henríquez']",Spanish,7.6,163488.0
3347,5385,Not Cool,2014,1,USA,Comedy,Unrated,93,9/19/2014,Shane Dawson,"['Shane Dawson', ' Cherami Leigh', ' Drew Monson']",English,5.0,36026.0
3348,5386,Not Easily Broken,2009,725,USA,Drama,Rated,99,1/9/2009,Bill Duke,"['Morris Chestnut', ' Taraji P. Henson', ' Maeve Quinlan']",English,6.1,10572742.0
3349,5387,Not Fade Away,2012,565,USA,Drama,Rated,112,12/21/2012,David Chase,"['John Magaro', ' Jack Huston', ' Will Brill']",English,6.0,610792.0
3350,5388,Not Forgotten,2009,4,USA,Thriller,Rated,96,5/15/2009,Dror Soref,"['Simon Baker', ' Paz Vega', ' Michael DeLorenzo']",English,4.9,53744.0
3351,5390,"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",2008,6,Australia,Documentary,Rated,103,7/31/2009,Mark Hartley,"['Phillip Adams', ' Glory Annen', ' Christine Amor']",English,7.7,21152.0
3352,5391,Not Today,2013,41,USA,Drama,Rated,118,4/12/2013,Jon Van Dyke,"['Wilson Bethel', ' John Schneider', ' Justin Baldoni']",English,5.6,318121.0
3356,5397,Nothing Bad Can Happen,2013,8,Germany,Crime,Rated,110,6/27/2014,Katrin Gebbe,"['Julius Feldmeier', ' Sascha Alexander Gersak', ' Annika Kuhl']",German,7.0,4870.0
3357,5398,Nothing But the Truth,2008,0,USA,Crime,Rated,108,1/1/2018,Rod Lurie,"['Kate Beckinsale', ' Matt Dillon', ' Angela Bassett']",English,7.2,0.0
3358,5401,Nothing Left to Fear,2013,5,USA,Horror,Rated,100,10/4/2013,Anthony Leonardi III,"['Anne Heche', ' James Tupper', ' Ethan Peck']",English,4.4,7886.0
3359,5402,Nothing Like the Holidays,2008,1671,USA,Comedy,Rated,98,12/12/2008,Alfredo Rodriguez de Villa,"['Alfred Molina', ' Elizabeth Peña', ' Freddy Rodríguez']",English,6.1,7503736.0
3360,5403,Nothing Personal,2009,1,Ireland,Drama,Rated,85,4/25/1997,Urszula Antoniak,"['Lotte Verbeek', ' Stephen Rea', ' Tom Charlfa']",English,7.1,40374.0
3363,5408,La fin de la Nouvelle-France,2009,80,France,Documentary,Rated,86,11/19/2004,Olivier Julien,"['Noel Burton', ' Arthur Holden', ' Marcel Jeannin']",French,6.9,1599716.0
3365,5410,November Criminals,2017,0,USA,Crime,Rated,0,12/8/2017,Sacha Gervasi,"['Ansel Elgort', ' Chloë Grace Moretz', ' Catherine Keener']",English,,0.0
3366,5411,The November Man,2014,2776,USA,Action,Rated,108,8/27/2014,Roger Donaldson,"['Pierce Brosnan', ' Luke Bracey', ' Olga Kurylenko']",English,6.3,25018119.0
3367,5412,Novitiate,2017,29,USA,Drama,Rated,123,10/27/2017,Margaret Betts,"['Margaret Qualley', ' Julianne Nicholson', ' Dianna Agron']",English,6.1,110846.0
3369,5414,Now & Later,2009,1,USA,Drama,Rated,99,2/18/2011,Philippe Diaz,"['Keller Wortham', ' Shari Solanis', ' Luis Fernandez-Gil']",English,5.2,1808.0
3370,5417,Now You See Me,2013,3082,USA,Crime,Rated,115,5/31/2013,Louis Leterrier,"['Jesse Eisenberg', ' Mark Ruffalo', ' Woody Harrelson']",English,7.3,117723989.0
3371,5418,Now You See Me 2,2016,3232,France,Action,Rated,129,6/10/2016,Jon M. Chu,"['Jesse Eisenberg', ' Mark Ruffalo', ' Woody Harrelson']",English,6.5,65075540.0
3372,5419,"Now, Forager",2012,4,USA,Drama,Unrated,93,10/3/2012,Jason Cortlund,"['Jason Cortlund', ' Tiffany Esteb', ' Almex Lee']",English,6.4,11146.0
3373,5420,NOW: In the Wings on a World Stage,2014,3,USA,Documentary,Unrated,97,5/2/2014,Jeremy Whelehan,"['Kevin Spacey', ' Maureen Anderman', ' Stephen Lee Anderson']",English,7.2,49591.0
3374,5422,Nowhere Boy,2009,215,UK,Biography,Rated,98,10/8/2010,Sam Taylor-Johnson,"['Aaron Taylor-Johnson', ' Kristin Scott Thomas', ' David Threlfall']",English,7.2,1457248.0
