,Person,Total Gross(Million),Movie involved,Average Gross for each movie,Most profitbale movie,Gross of most profitable
310,Gabriele Muccino,247900.0,5.0,49600.0,The Pursuit of Happyness,163600.0
311,Stephen Hopkins,247900.0,9.0,27500.0,Lost in Space,69100.0
312,Dean Parisot,245600.0,4.0,61400.0,Fun with Dick and Jane,110300.0
313,Ken Kwapis,244000.0,9.0,27100.0,He's Just Not That Into You,94000.0
314,Ron Underwood,243200.0,7.0,34700.0,City Slickers,124000.0
315,Brian Helgeland,242600.0,5.0,48500.0,42,95000.0
316,John Moore,242500.0,5.0,48500.0,A Good Day to Die Hard,67300.0
317,Steve Oedekerk,241500.0,4.0,60400.0,When Nature Calls,108400.0
318,Robert Stromberg,241400.0,1.0,241400.0,Maleficent,241400.0
319,Stanley Kubrick,241200.0,7.0,34500.0,2001: A Space Odyssey,57000.0
320,Neill Blomkamp,240300.0,3.0,80100.0,District 9,115600.0
321,Joe Wright,237600.0,7.0,33900.0,Atonement,50900.0
322,Mark Andrews,237300.0,1.0,237300.0,Brave,237300.0
323,P.J. Hogan,235000.0,4.0,58700.0,My Best Friend's Wedding,127100.0
324,James Foley,232600.0,12.0,19400.0,Fifty Shades Darker,114400.0
325,Robert Benton,231800.0,9.0,25800.0,Kramer Vs. Kramer,106300.0
326,Wes Anderson,231800.0,8.0,29000.0,The Grand Budapest Hotel,59300.0
327,David R. Ellis,231100.0,6.0,38500.0,The Final Destination,66500.0
328,Don Bluth,230900.0,9.0,25700.0,Anastasia,58400.0
329,Darren Lynn Bousman,230800.0,5.0,46200.0,Saw II,87000.0
330,Kathryn Bigelow,227600.0,9.0,25300.0,Zero Dark Thirty,95700.0
331,Thomas Carter,226100.0,5.0,45200.0,Save the Last Dance,91100.0
332,Tarsem,224300.0,5.0,44900.0,Immortals,83500.0
333,Simon Wells,222500.0,6.0,37100.0,Prince of Egypt,101400.0
334,Boaz Yakin,221900.0,7.0,31700.0,Remember the Titans,115700.0
335,Jimmy Hayward,220800.0,3.0,73600.0,Horton Hears a Who!,154500.0
336,Danny DeVito,220600.0,6.0,36800.0,The War of the Roses,86900.0
337,Frank Darabont,218500.0,4.0,54600.0,Green Mile,136800.0
338,Tom Dey,217400.0,4.0,54300.0,Failure to Launch,88700.0
339,Will Gluck,217300.0,4.0,54300.0,Annie (2014),85900.0
340,Kirk De Micco,217300.0,2.0,108600.0,The Croods,187200.0
341,Terry Gilliam,216000.0,10.0,21600.0,12 Monkeys,57100.0
342,Mimi Leder,215200.0,3.0,71700.0,Deep Impact,140500.0
343,Theodore Melfi,213700.0,2.0,106900.0,Hidden Figures,169600.0
344,John Whitesell,213500.0,6.0,35600.0,Big Momma's House 2,70200.0
345,Joe Roth,213200.0,6.0,35500.0,America's Sweethearts,93600.0
346,Gregory Hoblit,213100.0,6.0,35500.0,Primal Fear,56100.0
347,Jon Lucas,211000.0,3.0,70300.0,Bad Moms,113300.0
348,Scott Moore,211000.0,3.0,70300.0,Bad Moms,113300.0
