,,Unnamed: 0,Unnamed: 0.1,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Director,Actors,Language,imdbRating,Total Gross,last year_totalgross,genre_gross,count_num
73,73,108,153,Kingsglaive: Final Fantasy XV,2016,26,Japan,Animation,Rated,110,2016-08-19,Takeshi Nozue,"['Aaron Paul', ' Lena Headey', ' Sean Bean']",English,6.9,269980.0,11149116327.0,,44
74,74,109,154,Kingsman: The Golden Circle,2017,4038,UK,Action,Rated,141,2017-09-22,Matthew Vaughn,"['Taron Egerton', ' Edward Holcroft', ' Gordon Alexander']",English,7.2,99121408.0,11216236720.0,2297451379.0,47
75,75,110,155,Kingsman: The Secret Service,2014,3282,UK,Action,Rated,129,2015-02-13,Matthew Vaughn,"['Adrian Quinton', ' Colin Firth', ' Mark Strong']",English,7.7,128261724.0,10354970864.0,2268082751.0,31
76,76,113,159,Kinyarwanda,2011,9,USA,Drama,Unrated,100,2011-12-02,Alrick Brown,"['Cassandra Freeman', ' Edouard Bamporiki', ' Cleophas Kabasita']",English,6.7,35412.0,10589599184.0,1687447132.0,25
77,77,116,162,Kismat Konnection,2008,62,India,Comedy,Rated,153,2008-07-18,Aziz Mirza,"['Shahid Kapoor', ' Vidya Balan', ' Vishal Malhotra']",Hindi,5.2,490154.0,9767268194.0,1427703732.0,24
78,78,118,166,"Kiss Kiss, Bang Bang",2016,226,UK,Short,Rated,9,2005-10-21,Simon Massey,"['Richard Lessen', ' Charlotte Price', ' Gareth Morgan']",English,,4243756.0,,,1
79,79,119,171,Kiss of the Damned,2012,7,USA,Drama,Rated,97,2013-05-03,Xan Cassavetes,"['Joséphine de La Baume', ' Roxane Mesquida', ' Milo Ventimiglia']",English,5.6,14752.0,11041914748.0,1670662348.0,44
80,80,121,175,Kiss the Bride,2007,5,USA,Comedy,Rated,100,2008-04-18,C. Jay Cox,"['Tori Spelling', ' Philipp Karner', "" James O'Shea""]",English,5.8,32033.0,9767268194.0,1427703732.0,34
81,81,122,178,Kisses,2008,11,Ireland,Drama,Rated,72,2010-07-16,Lance Daly,"[""Kelly O'Neill"", ' Shane Curry', ' Paul Roe']",English,7.3,81680.0,10639535233.0,1834327761.0,31
82,82,124,181,Kit Kittredge: An American Girl,2008,1849,USA,Drama,Rated,101,2008-06-20,Patricia Rozema,"['Abigail Breslin', ' Julia Ormond', "" Chris O'Donnell""]",English,6.6,17657973.0,9767268194.0,1293680617.0,29
83,83,125,182,The Kitchen,2012,2,USA,Comedy,Rated,80,2013-03-08,Ishai Setton,"['Laura Prepon', ' Bryan Greenberg', ' Dreama Walker']",English,5.0,4054.0,11041914748.0,1050654625.0,41
84,84,127,185,The Kite Runner,2007,715,USA,Drama,Rated,128,2007-12-14,Marc Forster,"['Khalid Abdalla', ' Atossa Leoni', ' Shaun Toub']",Dari,7.6,15800078.0,9190502983.0,1566075796.0,20
85,85,128,186,Kites,2010,207,India,Action,Unrated,123,2010-05-21,Anurag Basu,"['Hrithik Roshan', ' Kangana Ranaut', ' Bárbara Mori']",English,6.1,16434860.0,10639535233.0,2041030428.0,29
86,86,130,190,The Guard,2011,203,Ireland,Comedy,Rated,96,2011-07-29,John Michael McDonagh,"['Ronan Collins', ' Paraic Nialand', ' John Patrick Beirne']",English,7.3,5360274.0,10589599184.0,1376087969.0,36
87,87,132,193,The Guardians,2017,0,Russia,Action,Unrated,89,2018-05-04,Sarik Andreasyan,"['Anton Pampushnyy', ' Sanjar Madi', ' Sebastien Sisak']",Russian,3.9,0.0,10971586766.0,3814290794.0,2
88,88,133,194,Guardians of the Galaxy,2014,4088,USA,Action,Rated,121,2014-08-01,James Gunn,"['Chris Pratt', ' Zoe Saldana', ' Dave Bautista']",English,8.1,333176600.0,10893180888.0,2225063194.0,38
89,89,134,195,Guardians of the Galaxy Vol. 2,2017,4347,USA,Action,Rated,136,2017-05-05,James Gunn,"['Chris Pratt', ' Zoe Saldana', ' Dave Bautista']",English,7.8,389813101.0,11216236720.0,2297451379.0,33
90,90,136,198,Güeros,2014,5,Mexico,Comedy,Unrated,106,2015-05-20,Alonso Ruizpalacios,"['Tenoch Huerta', ' Sebastián Aguirre', ' Ilse Salas']",Spanish,7.5,60114.0,10354970864.0,1272411206.0,45
91,91,139,202,Guest of Cindy Sherman,2008,1,USA,Documentary,Rated,88,2009-03-27,Tom Donahue,"['Cindy Sherman', ' John Waters', ' Eric Bogosian']",English,6.5,27052.0,9750709587.0,87432868.0,27
92,92,141,204,Guidance,2014,2,Canada,Comedy,Unrated,81,2015-08-21,Pat Mills,"['David Alexander', ' Don Allison', ' Alexandria Benoit']",English,6.3,4900.0,10354970864.0,1272411206.0,34
93,93,143,206,The Guillotines,2012,10,China,Action,Rated,112,2013-06-14,Wai-Keung Lau,"['Xiaoming Huang', ' Ethan Juan', ' Purba Rgyal']",Mandarin,4.8,5290.0,11041914748.0,2219810902.0,41
94,94,144,207,The Guilt Trip,2012,2431,USA,Comedy,Rated,95,2012-12-19,Anne Fletcher,"['Barbra Streisand', ' Seth Rogen', ' Julene Renee']",English,5.8,37134215.0,10187347362.0,1490816438.0,21
95,95,145,211,Gulliver's Travels,2010,3089,USA,Adventure,Rated,85,2010-12-25,Rob Letterman,"['Jack Black', ' Jason Segel', ' Emily Blunt']",English,4.9,42779261.0,10639535233.0,2818706120.0,19
96,96,146,215,Gun Fight,2011,0,USA,Documentary,Rated,89,1961-05-01,Barbara Kopple,"['John Aquilino Sr.', ' Jillian Bandes', ' Glenn Beck']",English,6.6,0.0,,,1
97,97,147,216,Gun Hill Road,2011,10,USA,Drama,Rated,86,2011-08-05,Rashaad Ernesto Green,"['Esai Morales', ' Robert Salzman', ' Ty Jones']",English,6.6,148994.0,10589599184.0,1687447132.0,38
98,98,149,221,Gunday,2014,159,India,Action,Unrated,152,2014-02-14,Ali Abbas Zafar,"['Ranveer Singh', ' Arjun Kapoor', ' Priyanka Chopra']",Hindi,2.1,0.0,10893180888.0,2225063194.0,29
99,99,150,224,The Gunman,2015,2816,USA,Action,Rated,115,2015-03-20,Pierre Morel,"['Sean Penn', ' Jasmine Trinca', ' Javier Bardem']",English,5.8,10664749.0,10354970864.0,2268082751.0,33
100,100,152,227,Gunnin' for That #1 Spot,2008,14,USA,Documentary,Rated,90,2008-06-27,Adam Yauch,"['Jerryd Bayless', ' Michael Beasley', ' Tyreke Evans']",English,6.4,50804.0,9767268194.0,70723219.0,29
101,101,154,231,Guru,2007,76,India,Biography,Rated,166,2007-01-12,Mani Ratnam,"['Mithun Chakraborty', ' Abhishek Bachchan', ' Aishwarya Rai Bachchan']",Hindi,7.8,2096000.0,9190502983.0,,6
102,102,155,232,Gurukulam,2014,11,Canada,Documentary,Rated,108,2016-06-03,Neil Dalal,['Dayananda Saraswati'],English,7.4,25651.0,11149116327.0,65052467.0,42
103,103,156,235,Guy and Madeline on a Park Bench,2009,5,USA,Drama,Rated,82,2010-11-05,Damien Chazelle,"['Jason Palmer', ' Desiree Garcia', ' Sandha Khin']",English,6.1,35556.0,10639535233.0,1834327761.0,26
104,104,160,241,Guzaarish,2010,108,India,Comedy,Rated,126,2010-11-19,Sanjay Leela Bhansali,"['Hrithik Roshan', ' Aishwarya Rai Bachchan', ' Shernaz Patel']",Hindi,7.5,1017335.0,10639535233.0,1435263724.0,26
105,105,163,248,The Wolf at the Door,2008,16,USA,Drama,Unrated,90,1987-07-31,Matt Detisch,"['Christopher Bucci', ' Tracy Lecker', ' Jason Merriott']",English,7.9,583800.0,,,3
106,106,165,250,The Wolf of Wall Street,2013,2557,USA,Biography,Rated,180,2013-12-25,Martin Scorsese,"['Leonardo DiCaprio', ' Jonah Hill', ' Margot Robbie']",English,8.2,116900694.0,11041914748.0,,27
107,107,166,251,Wolf Totem,2015,5,China,Adventure,Rated,121,2015-09-11,Jean-Jacques Annaud,"['Shaofeng Feng', ' Shawn Dou', ' Ankhnyam Ragchaa']",Mandarin,6.7,210591.0,10354970864.0,3199663674.0,47
108,108,167,253,The Wolfman,2010,3223,USA,Drama,Rated,103,2010-02-12,Joe Johnston,"['Simon Merrells', ' Gemma Whelan', ' Emily Blunt']",English,5.8,61979680.0,10639535233.0,1834327761.0,22
109,109,168,254,The Wolfpack,2015,94,USA,Documentary,Rated,90,2015-06-12,Crystal Moselle,"['Bhagavan Angulo', ' Govinda Angulo', ' Jagadisa Angulo']",English,7.0,1301696.0,10354970864.0,88392417.0,40
110,110,169,255,The Wolverine,2013,3924,USA,Action,Rated,126,2013-07-26,James Mangold,"['Hugh Jackman', ' Tao Okamoto', ' Rila Fukushima']",English,6.7,132556852.0,11041914748.0,2219810902.0,32
111,111,170,256,Wolves,2014,12,France,Action,Rated,91,2014-11-14,David Hayter,"['Lucas Till', ' Stephen McHattie', ' John Pyper-Ferguson']",English,5.3,12139.0,10893180888.0,2225063194.0,25
112,112,171,257,The Woman in Black,2012,2856,UK,Drama,Rated,95,2012-02-03,James Watkins,"['Emma Shorey', ' Molly Harmon', ' Ellisa Walker-Reid']",English,6.4,54333290.0,10187347362.0,1490190858.0,29
113,113,172,258,The Woman in Black 2: Angel of Death,2014,2602,UK,Drama,Rated,98,2015-01-02,Tom Harper,"['Phoebe Fox', ' Merryn Pearse', ' Mary Roscoe']",English,4.9,26501323.0,10354970864.0,1679582816.0,33
114,114,173,259,Woman in Gold,2015,2011,UK,Biography,Rated,109,2015-04-01,Simon Curtis,"['Helen Mirren', ' Ryan Reynolds', ' Daniel Brühl']",English,7.3,33307793.0,10354970864.0,,45
115,115,174,261,The Woman in the Fifth,2011,14,France,Drama,Rated,84,2012-06-15,Pawel Pawlikowski,"['Ethan Hawke', ' Kristin Scott Thomas', ' Joanna Kulig']",English,5.3,113800.0,10187347362.0,1490190858.0,29
116,116,178,270,Woman Thou Art Loosed: On the 7th Day,2012,106,USA,Drama,Rated,101,2012-04-13,Neema Barnette,"['Blair Underwood', ' Sharon Leal', ' Nicole Beharie']",English,4.9,1213128.0,10187347362.0,1490190858.0,36
117,117,179,271,The Woman Who Left,2016,1,Philippines,Drama,Rated,226,2017-05-19,Lav Diaz,"['Charo Santos-Concio', ' John Lloyd Cruz', ' Michael De Mesa']",English,7.9,3974.0,11216236720.0,1339173437.0,33
118,118,180,272,A Woman's Life,2016,4,France,Drama,Rated,119,2017-05-05,Stéphane Brizé,"['Judith Chemla', ' Jean-Pierre Darroussin', ' Yolande Moreau']",French,6.8,37626.0,11216236720.0,1339173437.0,33
119,119,181,273,"A Woman, a Gun and a Noodle Shop",2009,23,China,Comedy,Rated,95,2010-09-03,Yimou Zhang,"['Honglei Sun', ' Xiao Shen-Yang', ' Ni Yan']",Mandarin,5.7,190946.0,10639535233.0,1435263724.0,36
120,120,182,274,"A Woman, a Part",2016,3,USA,Drama,Unrated,97,2017-03-22,Elisabeth Subrin,"['Maggie Siff', ' Dagmara Dominczyk', ' Khandi Alexander']",English,5.7,23562.0,11216236720.0,1339173437.0,36
